,Spit,Approx.Depth..cm.,Ages.kya,OSL,C14,Sediment..kg.,Rocks.Rubble..kg.,Shell..g.,Haematite.Ochre..g.,Local.Coarse.Grained.Quartzite,Fine.Grained.Exotic.Quartzite,Quartz,Crystal.Quartz,Sandstone,Siltstone,Silcrete,Brown.Quartzite,Volcanic.Stone,Highly.Weathered,Oenpelli.Dolerite,Chert,Schist,Mica,Ground.Ochre.Haemetite,Axe.Flake.Frag,Ochre.Stained.Grindstone,Silcon,Bifacial.Point,Grindstone,Ochred.Exfoliation.from.Wall,Yellow.Ochre,Bipolar,Biface,Hammerstone,Redirecting.Flakes,Cores,Retouched,Total.Artefacts
1,61,453,,NA,NA,162.5,10.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,60,431,,NA,NA,150,14.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,59,414,,NA,NA,136.5,19.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,58,399,,NA,NA,197,15.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,57,382,,NA,NA,229.5,2.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,56,366,,NA,NA,239.5,4.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,55,349,,NA,NA,282,9.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,54,333,,NA,NA,286,26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,53,321,,NA,NA,242.5,2.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,52,312,,NA,NA,198.7,0.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
